speaker,occupation,about_speaker,language
Jody Williams,{0: ['nobel peace laureate']},"{0: 'Jody Williams won a Nobel Peace Prize for her efforts to eradicate landmines. Now she’s teaming up with five other female peace laureates to empower women to fight violence, injustice and inequality.'}",en
Amber Case,{0: ['cyborg anthropologist']},{0: 'Amber Case studies the symbiotic interactions between humans and machines -- and considers how our values and culture are being shaped by living lives increasingly mediated by high technology. '},en
Thomas Thwaites,{0: ['designer']},"{0: 'Thomas Thwaites is a designer ""of a more speculative sort,"" he says.'}",en
Elizabeth Lesser,{0: ['wellness specialist']},"{0: ""Elizabeth Lesser helps her readers and students transform their lives after brushes with pain, adversity and life's myriad problems.""}",en
Ali Carr-Chellman,{0: ['instructional designer']},{0: 'Ali Carr-Chellman is an instructional designer and author who studies the most effective ways to teach kids and to make changes at school.'},en
Naomi Klein,"{0: ['journalist', 'activist']}","{0: 'Naomi Klein is a public intellectual, journalist and activist.'}",en
Charity Tillemann-Dick,{0: ['soprano']},"{0: 'Charity Tillemann-Dick was a soprano who appeared on opera and concert stages around the world. Her roles included Titania in ""A Midsummer\'s Night Dream,"" Gilda in ""Rigoletto"" and Violetta in ""La Traviata.""'}",en
Van Jones,{0: ['social justice and green energy activist']},{0: 'Van Jones sees a clear link between social justice and green energy -- and works for both.'},en
Anders Ynnerman,{0: ['scientific visualization expert']},"{0: 'Anders Ynnerman studies the fundamental aspects of computer graphics and visualization, in particular large scale and complex data sets with a focus on volume rendering and multi-modal interaction. '}",en
Heather Knight,{0: ['roboticist']},"{0: 'Heather Knight runs Marilyn Monrobot, which creates socially intelligent robot performances and sensor-based electronic art. (and she helped build the amazing Rube Goldberg machine for OK Go’s “This Too Shall Pass."")'}",en
Martin Jacques,"{0: ['writer', 'columnist']}","{0: 'Martin Jacques is the author of ""When China Rules the World,"" and a columnist for the Guardian and New Statesman. He was a co-founder of the think tank Demos.'}",en
Thomas Goetz,{0: ['healthcare communicator']},"{0: 'Thomas Goetz is the co-founder of Iodine and author of ""The Decision Tree: Taking Control of Your Health in the New Era of Personalized Medicine.”'}",en
Liza Donnelly,{0: ['cartoonist']},"{0: 'New Yorker cartoonist Liza Donnelly tackles global issues with humor, intelligence and sarcasm. Her latest project supports the United Nations initiative Cartooning For Peace. '}",en
Ariel Garten,"{0: ['artist', 'scientist and entrepreneur']}","{0: 'As CEO of InteraXon, Ariel Garten works to close the gap between science, art, business and technology.'}",en
Bruce Feiler,{0: ['writer']},"{0: 'Bruce Feiler is the author of ""The Secrets of Happy Families,"" and the writer/presenter of the PBS miniseries ""Walking the Bible.""'}",en
Kate Orff,{0: ['landscape architect']},{0: 'Kate Orff asks us to rethink “landscape”—to use urban greenspaces and blue spaces in fresh ways to mediate between humankind and nature.'},en
Dale Dougherty,{0: ['tech publisher']},"{0: ""A technology and publishing enthusiast, Dale Dougherty founded MAKE magazine and created the world's largest DIY festival, Maker Faire.""}",en
Johanna Blakley,{0: ['media maven']},{0: 'Johanna Blakley studies the impact of mass media and entertainment on our world.'},en
Christopher McDougall,"{0: ['journalist', 'runner']}","{0: 'Christopher McDougall is the author of ""Born to Run: A Hidden Tribe, Super Athletes, and the Greatest Race the World Has Never Seen.""'}",en
Suheir Hammad,"{0: ['poet', 'playwright']}","{0: 'In her poems and plays, Suheir Hammad blends the stories and sounds of her Palestinian-American heritage with the vibrant language of Brooklyn to create a passionately modern voice.'}",en
Nigel Marsh,{0: ['author and marketer']},"{0: 'Nigel Marsh presents and writes on business and personal life -- and how the two interact. He is the author of ""Fat, Forty and Fired.""'}",en
Cynthia Breazeal,{0: ['roboticist']},"{0: 'At MIT, Cynthia Breazeal and her team are building robots with social intelligence that communicate and learn the same way people do. \r\n'}",en
Dr. Hawa Abdi + Dr. Deqo Mohamed,{0: ['somali doctors who treat women refugees']},"{0: 'Dr. Hawa Abdi and her daughters, Dr. Deqo Mohamed and Dr. Amina Mohamed, treat Somali refugee women and children, often for free.'}",en
Michael Pawlyn,{0: ['architect']},"{0: 'Michael Pawlyn takes cues from nature to make new, sustainable architectural environments.'}",en
Geert Chatrou,{0: ['whistler']},"{0: ""It all started as a practical joke: Geert Chatrou's sister-in-law entered him in the International Whistler's Convention in Louisburg, NC. To save face, he went … and won!""}",en
Krista Tippett,{0: ['journalist']},"{0: 'Krista Tippett hosts the national public radio program ""On Being,"" which takes up the great, animating questions of human life: What does it mean to be human? And how do we want to live?'}",en
Patricia Kuhl,{0: ['language']},"{0: 'Patricia Kuhl studies how we learn language as babies, looking at the ways our brains form around language acquisition.'}",en
Jacqueline Novogratz,{0: ['investor and advocate for moral leadership']},"{0: 'Jacqueline Novogratz works to enable human flourishing. Her organization, Acumen, invests in people, companies and ideas that see capital and networks as means, not ends, to solving the toughest issues of poverty.'}",en
Lisa Gansky,{0: ['entrepreneur']},"{0: 'Lisa Gansky is the author of ""The Mesh: Why the Future of Business Is Sharing,"" and the instigator behind the Mesh Directory (www.meshing.it).'}",en
Madeleine Albright,{0: ['former us secretary of state']},"{0: 'Since leaving office as US Secretary of State in 2001, Madeleine Albright has continued her distinguished career in foreign affairs as a businesswoman, political adviser and professor. '}",en
Noreena Hertz,{0: ['economist']},"{0: 'Noreena Hertz looks at global culture -- financial and otherwise -- using an approach that combines traditional economic analysis with foreign policy trends, psychology, behavioural economics, anthropology, history and sociology.'}",en
Iain Hutchison,{0: ['facial surgeon']},"{0: 'Iain Hutchison is a pioneering oral and facial surgeon; his foundation, Saving Faces, explores the nature of our expressions.'}",en
Elizabeth Lindsey,"{0: ['explorer', 'ethnographer']}",{0: 'Elizabeth Lindsey is a fellow of the National Geographic Society. Her mission: to keep ancestral voices alive by recording indigenous wisdom and traditions.'},en
Danny Hillis,{0: ['computer theorist']},"{0: 'Inventor, scientist, author, engineer -- over his broad career, Danny Hillis has turned his ever-searching brain on an array of subjects, with surprising results.'}",en
Ahn Trio,{0: ['piano trio']},"{0: 'With cello, piano and violin, sisters Maria, Lucia and Angella Ahn are constantly redefining the art and architecture of chamber music. '}",en
Wadah Khanfar,{0: ['journalist']},"{0: 'As the Director General of Al Jazeera from 2003-2011, Wadah Khanfar worked to bring rare liberties like information, transparency and dissenting voices to repressive states and political hot zones.'}",en
 JR,{0: ['street artist']},"{0: 'With a camera, a dedicated wheatpasting crew and the help of whole villages and favelas, 2011 TED Prize winner JR shows the world its true face.'}",en
Wael Ghonim,{0: ['internet activist and computer engineer']},"{0: 'Wael Ghonim believes that the Internet can be the most powerful platform for connecting humanity, if we can bring civility and thoughtful conversations back to it.'}",en
Bill Gates,{0: ['philanthropist']},"{0: ""A passionate techie and a shrewd businessman, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again with his own style of philanthropy and passion for innovation.""}",en
Anthony Atala,{0: ['surgeon']},"{0: 'Anthony Atala asks, ""Can we grow organs instead of transplanting them?"" His lab at the Wake Forest Institute for Regenerative Medicine is doing just that -- engineering over 30 tissues and whole organs.'}",en
Courtney E. Martin,{0: ['journalist']},{0: 'Courtney E. Martin’s work has two obsessions at its core: storytelling and solutions. '},en
Sal Khan,{0: ['educator and social entrepreneur']},"{0: 'In 2004, Sal Khan, a hedge fund analyst, began making math tutorials for his cousins. Twelve years later, Khan Academy has more than 42 million registered users from 190 countries, with tutorials on subjects from basic math through economics, art history, computer science, health, medicine and more.'}",en
Deb Roy,{0: ['cognitive scientist']},"{0: ""Deb Roy studies how children learn language, and designs machines that learn to communicate in human-like ways. On sabbatical from MIT Media Lab, he's working with the AI company Bluefin Labs.""}",en
Rob Harmon,{0: ['natural resources expert']},"{0: 'Rob Harmon is an expert on energy and natural resources policy -- looking at smart ways to manage carbon, water and the energy we use every day.'}",en
David Brooks,"{0: ['op-ed columnist', 'author']}","{0: 'Writer and thinker David Brooks has covered business, crime and politics over a long career in journalism. '}",en
Janna Levin,{0: ['physicist']},"{0: 'Janna Levin is a professor of physics and astronomy at Barnard, where she studies the early universe, chaos, and black holes. She\'s the author of  “How the Universe Got Its Spots"" and the novel “A Madman Dreams of Turing Machines.”'}",en
Mark Bezos,"{0: ['activist', 'volunteer firefighter']}","{0: 'Mark Bezos works at Robin Hood, a poverty-fighting charity in New York City, and the assistant captain of a volunteer fire company in suburban New York.'}",en
Rogier van der Heide,{0: ['lighting designer']},{0: 'Rogier van der Heide creates architectural spaces with light.'},en
Sarah Kay,{0: ['poet']},"{0: 'Sarah Kay is a poet, performer, educator and the founder of Project VOICE, an organization that uses spoken word poetry to entertain, educate and empower students and teachers worldwide.'}",en
